"","x"
"636",0.1304497347331
"637",0
"638",1.95285010384794e-10
"639",0.160357568910114
"640",0.0471203586924993
"641",0.999803362903729
"642",NA
"643",0
"644",0
"645",NA
"646",0
"647",0
"648",1
"649",0
"650",0
"651",NA
"652",NA
"653",NA
"654",NA
"655",0
"656",NA
"657",1
"658",0
"659",1
"660",0
"661",NA
"662",1
"663",1
"664",NA
"665",NA
"666",1
"667",0
"668",0
"669",0
"670",NA
"671",NA
"672",NA
"673",NA
"674",NA
"675",0
"676",NA
"677",NA
"678",0
"679",NA
"680",0
"681",NA
"682",NA
"683",NA
"684",1
"685",NA
"686",0
"687",0
"688",NA
"689",0.999999999999962
"690",1
"691",NA
"692",NA
"693",NA
"694",1
"695",1
"696",NA
"697",NA
"698",NA
"699",NA
"700",NA
"701",NA
"702",NA
"703",NA
"704",NA
"705",NA
"706",NA
"707",NA
"708",NA
"709",NA
"710",NA
"711",NA
"712",0
"713",NA
"714",NA
"715",NA
"716",NA
"717",NA
"718",NA
"719",NA
"720",NA
"721",0
"722",NA
"723",NA
"724",0
"725",NA
"726",NA
"727",NA
"728",NA
"729",NA
"730",NA
"731",0
"732",NA
"733",NA
"734",NA
"735",NA
"736",NA
"737",NA
"738",NA
"739",0
"740",NA
"741",NA
"742",0
"743",NA
"744",NA
"745",0
"746",NA
"747",1
"748",0
"749",0
"750",NA
"751",0
"752",0
"753",0
"754",0
"755",0
"756",0
"757",1
"758",1
"759",0
"760",0
"761",6.39031050297945e-11
"762",1
"763",1
"764",0
"765",1
"766",0.999999999910094
"767",0
"768",0.355647323021713
"769",0
"770",0
"771",NA
"772",1
"773",0.0559352668712225
"774",0
"775",0
"776",0
"777",0
"778",1
"779",0
"780",0
"781",0.999974790978047
"782",1
"783",1
"784",0.999811443311478
"785",0.992505752378266
"786",0.927726631549063
"787",0
"788",0
"789",NA
"790",0
"791",0
"792",0
"793",0
"794",0.541020729986708
"795",0
"796",1
"797",0
"798",0
"799",0.999999884591494
"800",1
"801",1
"802",0.000158294757873656
"803",1
"804",NA
"805",0
"806",0
"807",0
"808",NA
"809",1
"810",0
"811",0
"812",0
"813",0
"814",0
"815",0
"816",0
"817",0
"818",NA
"819",1
"820",0
"821",0
"822",1
"823",1
"824",0
"825",0
"826",NA
"827",0
"828",NA
"829",1
"830",1
"831",NA
"832",0
"833",1
"834",0
"835",0
"836",1
"837",1
"838",NA
"839",0
"840",NA
"841",0
"842",0
"843",0
"844",0
"845",0
"846",NA
"847",0
"848",NA
"849",0
"850",0
"851",NA
"852",NA
"853",NA
"854",NA
"855",1
"856",0.99997721084872
"857",NA
"858",NA
"859",NA
"860",NA
"861",NA
"862",NA
"863",0
"864",NA
"865",NA
"866",0
"867",0
"868",NA
"869",NA
"870",NA
"871",NA
"872",NA
"873",0
"874",NA
"875",NA
"876",NA
"877",NA
"878",NA
"879",0
"880",NA
"881",NA
"882",NA
"883",NA
"884",NA
"885",NA
"886",NA
"887",NA
"888",NA
"889",NA
"890",NA
"891",NA
"892",NA
"893",NA
"894",NA
"895",NA
"896",NA
"897",NA
"898",NA
"899",NA
"900",NA
"901",NA
"902",NA
"903",NA
"904",NA
"905",NA
"906",NA
"907",NA
"908",NA
"909",NA
"910",NA
"911",NA
"912",NA
"913",NA
"914",NA
"915",NA
"916",NA
"917",NA
"918",NA
"919",0
"920",NA
"921",NA
"922",NA
"923",NA
"924",NA
"925",NA
"926",NA
"927",NA
"928",NA
"929",NA
"930",NA
"931",NA
"932",NA
"933",NA
"934",NA
"935",NA
"936",NA
"937",NA
"938",NA
"939",NA
"940",NA
"941",NA
"942",NA
"943",NA
"944",NA
"945",NA
"946",NA
"947",NA
"948",NA
"949",NA
"950",NA
"951",NA
"952",NA
"953",NA
"954",NA
"955",NA
"956",NA
"957",NA
"958",NA
"959",NA
"960",NA
"961",NA
"962",NA
"963",NA
"964",NA
"965",NA
"966",NA
"967",NA
"968",NA
"969",NA
"970",NA
"971",NA
"972",NA
"973",NA
"974",NA
"975",NA
"976",NA
"977",NA
"978",NA
"979",NA
"980",NA
"981",NA
"982",NA
"983",NA
"984",NA
"985",NA
"986",NA
"987",0
"988",NA
"989",NA
"990",NA
"991",NA
"992",NA
"993",NA
"994",NA
"995",NA
"996",NA
"997",NA
"998",NA
"999",NA
"1000",NA
"1001",NA
"1002",NA
"1003",NA
"1004",NA
"1005",NA
"1006",NA
"1007",NA
"1008",NA
"1009",NA
"1010",NA
"1011",NA
"1012",NA
"1013",NA
"1014",NA
"1015",NA
"1016",NA
"1017",NA
"1018",NA
"1019",NA
"1020",NA
"1021",NA
"1022",NA
"1023",NA
"1024",NA
"1025",NA
"1026",NA
"1027",NA
"1028",NA
"1029",NA
"1030",NA
"1031",NA
"1032",NA
"1033",NA
"1034",NA
"1035",NA
"1036",NA
"1037",NA
"1038",NA
"1039",NA
"1040",NA
"1041",NA
"1042",NA
"1043",NA
"1044",NA
"1045",NA
"1046",NA
"1047",NA
"1048",NA
"1049",NA
"1050",NA
"1051",NA
"1052",NA
"1053",NA
"1054",NA
"1055",NA
"1056",NA
"1057",NA
"1058",NA
"1059",NA
"1060",NA
"1061",NA
"1062",NA
"1063",NA
"1064",NA
"1065",NA
"1066",NA
"1067",NA
"1068",NA
"1069",NA
"1070",NA
"1071",NA
"1072",NA
"1073",NA
"1074",NA
"1075",NA
"1076",NA
"1077",NA
"1078",NA
"1079",NA
"1080",NA
"1081",NA
"1082",NA
"1083",NA
"1084",NA
"1085",NA
"1086",NA
"1087",NA
"1088",NA
"1089",NA
"1090",NA
"1091",NA
"1092",NA
"1093",NA
"1094",NA
"1095",NA
"1096",NA
"1097",NA
"1098",NA
"1099",NA
"1100",NA
"1101",NA
"1102",NA
"1103",NA
"1104",NA
"1105",NA
"1106",NA
"1107",NA
"1108",NA
"1109",NA
"1110",NA
"1111",NA
"1112",NA
"1113",NA
"1114",NA
"1115",NA
"1116",NA
"1117",NA
"1118",NA
"1119",NA
"1120",NA
"1121",NA
"1122",NA
"1123",NA
"1124",NA
"1125",NA
"1126",NA
"1127",NA
"1128",NA
"1129",NA
"1130",NA
"1131",NA
"1132",NA
"1133",NA
"1134",NA
"1135",NA
"1136",NA
"1137",NA
"1138",NA
"1139",NA
"1140",NA
"1141",NA
"1142",NA
"1143",NA
"1144",NA
"1145",NA
"1146",NA
"1147",NA
"1148",NA
"1149",NA
"1150",NA
"1151",NA
"1152",NA
"1153",NA
"1154",NA
"1155",NA
"1156",NA
"1157",NA
"1158",NA
"1159",NA
"1160",NA
"1161",NA
"1162",0
"1163",NA
"1164",NA
"1165",NA
"1166",NA
"1167",NA
"1168",NA
"1169",NA
"1170",NA
"1171",NA
"1172",NA
"1173",NA
"1174",NA
"1175",NA
"1176",NA
"1177",NA
"1178",NA
"1179",NA
"1180",NA
"1181",NA
"1182",NA
"1183",NA
"1184",NA
"1185",NA
"1186",NA
"1187",NA
"1188",NA
"1189",NA
"1190",NA
"1191",NA
"1192",NA
"1193",NA
"1194",NA
"1195",NA
"1196",NA
"1197",NA
"1198",NA
"1199",NA
"1200",NA
"1201",NA
"1202",NA
"1203",NA
"1204",NA
"1205",NA
"1206",NA
"1207",NA
"1208",NA
"1209",NA
"1210",NA
"1211",NA
"1212",NA
"1213",NA
"1214",NA
"1215",NA
"1216",NA
"1217",NA
"1218",NA
"1219",NA
"1220",NA
"1221",NA
"1222",NA
"1223",NA
"1224",NA
"1225",NA
"1226",NA
"1227",NA
"1228",0
"1229",NA
"1230",NA
"1231",NA
"1232",NA
"1233",NA
"1234",NA
"1235",NA
"1236",NA
"1237",NA
"1238",NA
"1239",NA
"1240",NA
"1241",NA
"1242",NA
"1243",NA
"1244",NA
"1245",NA
"1246",NA
"1247",NA
"1248",NA
"1249",NA
"1250",NA
"1251",NA
"1252",NA
"1253",NA
"1254",NA
"1255",NA
"1256",NA
"1257",NA
"1258",NA
"1259",NA
"1260",NA
"1261",NA
"1262",NA
"1263",NA
"1264",NA
"1265",NA
"1266",NA
"1267",NA
"1268",NA
"1269",NA
"1270",NA
"1271",NA
"1272",NA
"1273",NA
"1274",NA
"1275",NA
"1276",NA
"1277",NA
"1278",NA
"1279",NA
"1280",NA
"1281",NA
"1282",NA
"1283",NA
"1284",NA
"1285",NA
"1286",NA
"1287",NA
"1288",NA
"1289",NA
"1290",NA
"1291",NA
"1292",NA
"1293",NA
"1294",NA
"1295",NA
"1296",NA
"1297",NA
"1298",0.862071726062049
"1299",0
"1300",NA
"1301",NA
"1302",NA
"1303",NA
"1304",NA
"1305",NA
"1306",NA
"1307",NA
"1308",NA
"1309",NA
"1310",NA
"1311",NA
"1312",NA
"1313",NA
"1314",NA
"1315",NA
"1316",NA
"1317",NA
"1318",NA
"1319",NA
"1320",NA
"1321",NA
"1322",NA
"1323",NA
"1324",NA
"1325",NA
"1326",NA
"1327",NA
"1328",NA
"1329",NA
"1330",NA
"1331",NA
"1332",NA
"1333",NA
"1334",NA
"1335",NA
"1336",NA
"1337",NA
"1338",NA
"1339",NA
"1340",NA
"1341",NA
"1342",NA
"1343",NA
"1344",NA
"1345",NA
"1346",NA
"1347",NA
"1348",NA
"1349",NA
"1350",NA
"1351",NA
"1352",NA
"1353",NA
"1354",NA
"1355",NA
"1356",NA
"1357",NA
"1358",NA
"1359",NA
"1360",NA
"1361",NA
"1362",NA
"1363",NA
"1364",NA
"1365",NA
"1366",NA
"1367",NA
"1368",NA
"1369",NA
"1370",NA
"1371",NA
"1372",NA
"1373",NA
"1374",NA
"1375",NA
"1376",NA
"1377",0
"1378",NA
"1379",NA
"1380",NA
"1381",NA
"1382",NA
"1383",NA
"1384",NA
"1385",NA
"1386",NA
"1387",NA
"1388",NA
"1389",NA
"1390",NA
"1391",NA
"1392",NA
"1393",NA
"1394",NA
"1395",NA
"1396",NA
"1397",NA
"1398",NA
"1399",NA
"1400",NA
"1401",NA
"1402",NA
"1403",NA
"1404",NA
"1405",NA
"1406",NA
"1407",NA
"1408",NA
"1409",NA
"1410",NA
"1411",NA
"1412",NA
"1413",NA
"1414",NA
"1415",NA
"1416",NA
"1417",NA
"1418",NA
"1419",NA
"1420",NA
"1421",NA
"1422",NA
"1423",NA
"1424",NA
"1425",NA
"1426",NA
"1427",NA
"1428",NA
"1429",NA
"1430",NA
"1431",NA
"1432",NA
"1433",NA
"1434",NA
"1435",NA
"1436",NA
"1437",NA
"1438",NA
"1439",0
"1440",NA
"1441",NA
"1442",NA
"1443",NA
"1444",NA
"1445",NA
"1446",NA
"1447",NA
"1448",NA
"1449",NA
"1450",NA
"1451",NA
"1452",NA
"1453",NA
"1454",NA
"1455",NA
"1456",NA
"1457",NA
"1458",NA
"1459",NA
"1460",NA
"1461",NA
"1462",NA
"1463",NA
"1464",NA
"1465",NA
"1466",NA
"1467",NA
"1468",NA
"1469",NA
"1470",NA
"1471",NA
"1472",NA
"1473",NA
"1474",NA
"1475",NA
"1476",NA
"1477",NA
"1478",NA
"1479",NA
"1480",NA
"1481",NA
"1482",NA
"1483",NA
"1484",NA
"1485",NA
"1486",NA
"1487",NA
"1488",NA
"1489",NA
"1490",NA
"1491",NA
"1492",NA
"1493",NA
"1494",NA
"1495",NA
"1496",NA
"1497",0
"1498",NA
"1499",NA
"1500",NA
"1501",NA
"1502",NA
"1503",NA
"1504",NA
"1505",NA
"1506",NA
"1507",NA
"1508",NA
"1509",NA
"1510",NA
"1511",NA
"1512",NA
"1513",NA
"1514",NA
"1515",NA
"1516",NA
"1517",NA
"1518",NA
"1519",NA
"1520",NA
"1521",NA
"1522",NA
"1523",NA
"1524",NA
"1525",NA
"1526",NA
"1527",NA
"1528",NA
"1529",NA
"1530",NA
"1531",NA
"1532",NA
"1533",NA
"1534",NA
"1535",NA
"1536",NA
"1537",NA
"1538",NA
"1539",NA
"1540",NA
"1541",NA
"1542",NA
"1543",NA
"1544",NA
"1545",NA
"1546",NA
"1547",NA
"1548",NA
"1549",NA
"1550",0
"1551",NA
"1552",NA
"1553",NA
"1554",NA
"1555",NA
"1556",NA
"1557",NA
"1558",NA
"1559",NA
"1560",NA
"1561",NA
"1562",NA
"1563",NA
"1564",NA
"1565",NA
"1566",NA
"1567",NA
"1568",NA
"1569",NA
"1570",NA
"1571",NA
"1572",NA
"1573",NA
"1574",NA
"1575",NA
"1576",NA
"1577",NA
"1578",NA
"1579",NA
"1580",NA
"1581",NA
"1582",NA
"1583",NA
"1584",NA
"1585",NA
"1586",NA
"1587",NA
"1588",NA
"1589",NA
"1590",NA
"1591",NA
"1592",NA
"1593",NA
"1594",NA
"1595",NA
"1596",NA
"1597",NA
"1598",NA
"1599",NA
"1600",NA
"1601",NA
"1602",NA
"1603",NA
"1604",NA
"1605",NA
"1606",NA
"1607",NA
"1608",NA
"1609",NA
"1610",NA
"1611",NA
"1612",NA
"1613",NA
"1614",NA
"1615",NA
"1616",NA
"1617",NA
"1618",NA
"1619",NA
"1620",NA
"1621",NA
"1622",NA
"1623",NA
"1624",NA
"1625",NA
"1626",NA
"1627",NA
"1628",NA
"1629",NA
"1630",NA
"1631",NA
"1632",NA
"1633",NA
"1634",NA
"1635",NA
"1636",NA
"1637",NA
"1638",NA
